SEED magnet:?xt=urn:btih:a6453589c479ace6613048fb3c607a77495a3f7c PORT 17233
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-ALERT: 4bab34 peer 127.0.0.1:6882 outgoing connection to peer (TCP)
SEED-ALERT: 4bab34 peer 127.0.0.1:6882 disconnecting (TCP) [bittorrent] [libtorrent]: upload to upload connection (reason: 0)
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
SEED-STATUS: peers=0 seeds=0 progress=1.0000 state=5
